publication_time;category;author;title;link
2023-11-12 16:23;SPORTS;Heute;2:0-Sensation! Blau-Weiss schiesst LASK im Linz-Derby ab;https://www.heute.at/s/20-sensation-blau-weiss-schiesst-lask-im-linz-derby-ab-120004023
2023-10-23 14:00;LIFESTYLE;Der Standard;Welche Staedte die Superreichen bevorzugen;https://www.derstandard.at/story/3000000192256/welche-staedte-die-superreichen-bevorzugen
2023-11-17 15:47;CULTURE;Kurier;Jedermann-Regisseur Carsen: Ob es ein gutes Stueck ist, weiss ich noch nicht;https://kurier.at/kultur/jedermann-regisseur-robert-carsen-salzburger-festspiele-ob-es-ein-gutes-stueck-ist-weiss-ich-noch/402674086
2023-11-16 07:23;POLITICS;Die Presse;Moskaus treuer Kunde: Oesterreich kauft wieder mehr Gas aus Russland;https://www.diepresse.com/17827841/moskaus-treuer-kunde-oesterreich-kauft-wieder-mehr-gas-aus-russland
2023-10-11 11:01;CULTURE;Der Standard;Eine Anwaeltin predigt die Unschuldsvermutung - bis sie selber anklagt;https://www.derstandard.at/story/3000000190642/eine-anwaeltin-predigt-die-unschuldsvermutung--bis-sie-selber-anklagt
2023-09-08 18:56;POLITICS;Der Standard;Maurer ueber Koalition: Keine Garantien, Ziel ist Fortbestand;https://www.derstandard.at/story/3000000186242/maurer-ueber-koalition-keine-garantien-ziel-ist-fortbestand
2023-11-20 11:23;CULTURE;Der Standard;      ;https://www.derstandard.at/story/3000000195955/song-contest-russland-schreibt-esc-siegerin-jamala-zur-fahndung-aus
2023-10-06 13:12;SPORTS;ballesterer;In der Mixed Zone: Dominik Thaller, Filmemacher;https://ballesterer.at/2023/10/03/in-der-mixed-zone-dominik-thaller-filmemacher/
2023-11-12 16:22;SPORTS;Kronen Zeitung;Blau-Weiss zwingt LASK im Linzer Derby in die Knie;https://www.krone.at/3163470
2023-11-14 17:46;SCIENCE;Melanie Klug;Die Presse;Wie Beton klimafreundlicher sein kann;https://www.diepresse.com/17824964/wie-beton-klimafreundlicher-sein-kann
2023-08-17 09:00;SCIENCE;Der Standard;ChatGPT wuerde laut aktueller Studie wohl linke Parteien waehlen;https://www.derstandard.at/story/3000000183068/chatgpt-wuerde-laut-aktueller-studie-wohl-linke-parteien-waehlen
2023-11-14 15:51;SCIENCE;Der Standard;Was bei einem Angriff auf 450 US-Atomwaffenlager passieren wuerde;https://www.derstandard.at/story/3000000195121/was-bei-einem-angriff-auf-450-us-atomwaffenlager-passieren-wuerde
2023-11-07 18:16;Der Standard;Israelfeindliche Rufe in Wiener Schulgebaeude;https://www.derstandard.at/story/3000000194236/israelfeindliche-rufe-im-schulgeb228ude
2023-11-18 18:00;SCIENCE;Der Standard;Macht das Internet keinen Spass mehr?;https://www.derstandard.at/story/3000000195697/macht-das-internet-keinen-spass-mehr
2023-11-16 16:11;CULTURE;Die Presse;The Crown-Spoiler: Prinzessin Diana stirbt!;https://www.diepresse.com/17828909/the-crown-spoiler-prinzessin-diana-stirbt
2023-11-18 20:00;LIFESTYLE;Der Standard;So sieht die Fast-Fashion-Kollektion von McDonald's und Crocs aus;https://www.derstandard.at/story/3000000195618/so-sieht-die-fast-fashion-kollektion-von-mcdonalds-und-crocs-aus
2023-11-15 14:34;SPORTS;Petr Cech jetzt auch im Eishockey Erstliga-Goalie;https://www.derstandard.at/story/3000000195353/petr-cech-jetzt-auch-im-eishockey-erstliga-goalie
2023-10-12 17:00;CULTURE;Kronen Zeitung;Fussball-Sticker fuer Buecher und Schoenschreiben;www.krone.at/3136870
2023-07-13 18:15;POLITICS;Der Standard;Vorerst haelt die blaue Festung trotz zahlreicher Skandale noch;https://www.derstandard.at/story/3000000178863/vorerst-haelt-die-blaue-festung-trotz-zahlreicher-skandale-noch
2023-11-14 15:48;SPORTS;OOENachrichten;LASK-Kicker bedrohte Blau-Weiss-Fan: Werden dich durch ganz Linz jagen;https://www.nachrichten.at/sport/fussball/lask/lask-kicker-bedrohte-blau-weiss-fan-werden-dich-durch-ganz-linz-jagen
2023-10-29 14:00;SCIENCE;Der Standard;KI-Pionier vergleicht Risiken der kuenstlichen Intelligenz mit Klimakrise;https://www.derstandard.at/story/3000000192649/ki-pionier-vergleicht-risiken-der-kuenstlichen-intelligenz-mit-klimakrise
2023-11-17 14:21;SPORTS;Die Presse;Premier League zog Everton zehn Punkte ab;https://www.diepresse.com/17834751/premier-league-zog-everton-zehn-punkte-ab
2023-11-18 16:04;POLITICS;Die Presse;Schallenberg: Die Hamas muss verschwinden;https://www.diepresse.com/17837567/schallenberg-die-hamas-muss-verschwinden
2023-09-15 08:52;SPORTS;Der Standard;Paszek macht gegen sie gerichtete Todesdrohung publik;https://www.derstandard.at/story/3000000186994/paszek-macht-gegen-sie-gerichtete-todesdrohung-publik
2023-11-17 10:59;LIFESTYLE;Der Standard;Essen Sie noch Fleisch?;https://www.derstandard.at/story/3000000194360/essen-sie-noch-fleisch
